Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2025-07-05T14:24:18Z,38.929604,-77.052193,78,0.95,1.89,2.12,3,12,90
2025-07-05T16:26:00Z,38.929680,-77.052216,53,1.24,0.96,1.57,3,9,90
2025-07-05T18:27:43Z,38.929688,-77.052231,53,1.02,0.82,1.31,3,12,90
2025-07-05T19:50:36Z,38.799198,-77.632660,126,0.92,0.79,1.21,3,9,90
2025-07-05T21:52:17Z,38.799137,-77.632576,138,0.89,0.82,1.21,3,9,90
2025-07-05T23:53:55Z,38.799194,-77.632599,134,0.87,0.79,1.18,3,10,90
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,15
2025-07-09T11:48:12Z,38.893230,-78.164291,333,0.99,0.84,1.30,3,10,90
2025-07-09T13:34:23Z,38.892479,-78.159554,387,1.00,0.94,1.37,3,9,90
2025-07-09T15:06:03Z,38.894745,-78.161049,392,0.61,0.87,1.06,3,17,90
2025-07-09T17:10:28Z,38.895355,-78.166420,332,0.79,0.76,1.10,3,14,90
