time,id,rssi
2017-01-04T06:13:44Z,3407074B7A,-38
2017-01-04T06:14:16Z,3407074B7A,-44
2017-01-04T06:14:53Z,3407074B7A,-43
2017-01-04T06:15:30Z,3407074B7A,-39
2017-01-04T06:16:02Z,3407074B7A,-46
2017-01-04T06:16:38Z,3407074B7A,-42
2017-01-04T06:17:10Z,3407074B7A,-42
2017-01-04T06:17:12Z,074B2A00,-92
2017-01-04T06:17:35Z,074B2A00,-79
2017-01-04T06:17:47Z,3407074B7A,-57
2017-01-04T06:18:25Z,3407074B7A,-63
2017-01-04T06:18:45Z,074B2A00,-100
2017-01-04T06:18:57Z,3407074B7A,-94
2017-01-04T06:19:31Z,074B2A00,-91
2017-01-04T06:19:34Z,3407074B7A,-63
2017-01-04T06:19:55Z,074B2A00,-88
2017-01-04T06:20:06Z,3407074B7A,-60
2017-01-04T06:20:24Z,074B2A00,-90
2017-01-04T06:20:44Z,3407074B7A,-58
2017-01-04T06:20:48Z,074B2A00,-90
2017-01-04T06:21:12Z,074B2A00,-89
2017-01-04T06:21:16Z,3407074B7A,-61
2017-01-04T06:21:48Z,3407074B7A,-56
2017-01-04T06:22:25Z,3407074B7A,-56
2017-01-04T06:22:45Z,074B2A00,-90
2017-01-04T06:22:58Z,3407074B7A,-55
2017-01-04T06:23:30Z,3407074B7A,-55
2017-01-04T06:23:32Z,074B2A00,-90
2017-01-04T06:23:55Z,074B2A00,-90
2017-01-04T06:24:07Z,3407074B7A,-57
2017-01-04T06:24:18Z,074B2A00,-88
2017-01-04T06:24:39Z,3407074B7A,-55
2017-01-04T06:24:42Z,074B2A00,-90
2017-01-04T06:25:17Z,3407074B7A,-58
2017-01-04T06:25:29Z,074B2A00,-90
2017-01-04T06:25:49Z,3407074B7A,-60
2017-01-04T06:26:15Z,074B2A00,-90
2017-01-04T06:26:27Z,3407074B7A,-56
2017-01-04T06:26:39Z,074B2A00,-90
2017-01-04T06:27:02Z,074B2A00,-90
2017-01-04T06:27:04Z,3407074B7A,-56
2017-01-04T06:27:25Z,074B2A00,-90
2017-01-04T06:27:41Z,3407074B7A,-55
2017-01-04T06:27:49Z,074B2A00,-90
2017-01-04T06:28:18Z,3407074B7A,-58
