time,id,rssi
2025-07-05T12:07:35Z,34000000,-79
2025-07-05T12:07:36Z,1978617878,-92
2025-07-05T12:07:41Z,1978617878,-91
2025-07-05T12:07:46Z,1978617878,-96
2025-07-05T12:07:51Z,1978617878,-92
2025-07-05T12:07:57Z,1978617878,-81
2025-07-05T12:07:58Z,3407074B7A,-78
2025-07-05T12:08:02Z,1978617878,-77
2025-07-05T12:08:04Z,34000000,-70
2025-07-05T12:08:07Z,1978617878,-86
2025-07-05T12:08:12Z,1978617878,-95
2025-07-05T12:08:17Z,1978617878,-99
2025-07-05T12:08:23Z,1978617878,-89
2025-07-05T12:08:27Z,3407074B7A,-86
2025-07-05T12:08:28Z,1978617878,-95
2025-07-05T12:08:32Z,34000000,-93
2025-07-05T12:08:33Z,1978617878,-99
2025-07-05T12:08:38Z,1978617878,-101
2025-07-05T12:08:43Z,1978617878,-100
2025-07-05T12:08:49Z,1978617878,-102
2025-07-05T12:08:54Z,1978617878,-106
2025-07-05T12:08:55Z,3407074B7A,-101
2025-07-05T12:09:04Z,1978617878,-107
2025-07-05T12:11:17Z,0000000000,-51
2025-07-05T12:11:56Z,00000000,-75
2025-07-05T12:13:03Z,FFFFFFFF,-57
2025-07-05T12:14:28Z,FFFFFFFF,-60
2025-07-05T12:18:45Z,FFFFFFFF,-49
2025-07-05T12:19:22Z,7FFFFFFF,-42
2025-07-05T12:19:26Z,7FFFFFFF,-56
2025-07-05T12:19:30Z,0000000000,-54
2025-07-05T12:19:31Z,00000000,-44
2025-07-05T12:19:31Z,55520000,-42
2025-07-05T12:19:35Z,557FFFFF,-51
2025-07-05T12:19:40Z,00000000,-63
2025-07-05T12:20:08Z,0000000000,-52
2025-07-05T12:20:28Z,4C000000,-41
2025-07-05T12:20:38Z,7FFFFFFF,-41
2025-07-05T12:20:39Z,0000000000,-71
2025-07-05T12:20:40Z,33FFFFFF,-63
2025-07-05T12:20:43Z,7FFFFFFF,-41
2025-07-05T12:20:49Z,33FFFFFF,-54
2025-07-05T12:20:52Z,7FFFFFFFEF,-41
2025-07-05T12:20:57Z,00000000,-33
2025-07-05T12:20:59Z,33FFFFFF,-29
2025-07-05T12:21:08Z,4C000000,-27
2025-07-05T12:23:15Z,7FFFFFFF,-47
2025-07-05T12:23:20Z,80000000,-39
2025-07-05T12:28:15Z,55522A34,-75
2025-07-05T12:28:15Z,4C336166,-66
2025-07-05T12:28:19Z,55007FFF,-74
2025-07-05T12:28:28Z,7FFFFFFF,-66
2025-07-05T12:28:31Z,33000000,-77
2025-07-05T12:43:07Z,33667FFF,-87
2025-07-05T12:43:07Z,34522D2D87,-85
2025-07-05T12:43:07Z,52190000,-85
2025-07-05T12:43:12Z,34522D2D87,-77
2025-07-05T12:43:16Z,3366551929,-77
2025-07-05T12:43:17Z,34522D2D,-78
2025-07-05T12:43:19Z,521978190D,-78
2025-07-05T12:43:22Z,34522D00,-78
2025-07-05T12:43:24Z,521978190D,-79
2025-07-05T12:43:26Z,34520000,-78
2025-07-05T12:43:27Z,4C7FFFFF,-75
2025-07-05T12:43:29Z,337FFFFF,-85
2025-07-05T12:43:29Z,521978190D,-79
2025-07-05T12:43:30Z,34522D2D87,-75
2025-07-05T12:43:33Z,3366551929,-77
2025-07-05T12:43:34Z,34522D2D87,-79
2025-07-05T12:43:35Z,521978190D,-76
2025-07-05T12:43:36Z,4C52337F,-73
2025-07-05T12:43:38Z,3366551929,-78
2025-07-05T12:43:39Z,34522D2D87,-74
2025-07-05T12:43:43Z,3366551929,-77
2025-07-05T12:43:44Z,34522D2D87,-79
2025-07-05T12:43:45Z,4C52337F,-68
2025-07-05T12:43:45Z,521978190D,-76
2025-07-05T12:43:48Z,3366551929,-79
2025-07-05T12:43:49Z,34522D2D87,-82
2025-07-05T12:43:50Z,521978190D,-83
2025-07-05T12:43:53Z,4C52336167,-68
2025-07-05T12:43:54Z,3366551929,-79
2025-07-05T12:43:55Z,34522D2D87,-86
2025-07-05T12:43:55Z,521978190D,-85
2025-07-05T12:43:58Z,4C52336167,-65
2025-07-05T12:43:59Z,3366551929,-78
2025-07-05T12:44:00Z,34522D2D87,-83
2025-07-05T12:44:00Z,521978190D,-84
2025-07-05T12:44:02Z,4C523361,-64
2025-07-05T12:44:04Z,3366551929,-76
2025-07-05T12:44:06Z,521978190D,-81
2025-07-05T12:44:09Z,34522D00,-77
2025-07-05T12:44:09Z,33665519,-77
2025-07-05T12:44:11Z,521978190D,-76
2025-07-05T12:44:13Z,33665519,-78
2025-07-05T12:44:14Z,4C520000,-69
2025-07-05T12:44:16Z,521978190D,-76
2025-07-05T12:44:17Z,33665519,-78
2025-07-05T12:44:21Z,33665519,-78
2025-07-05T12:44:21Z,52197800,-77
2025-07-05T12:44:24Z,34520000,-78
2025-07-05T12:44:24Z,33665519,-78
2025-07-05T12:44:25Z,52197819,-76
2025-07-05T12:44:31Z,4C523361,-66
2025-07-05T12:44:33Z,3366551929,-76
2025-07-05T12:44:41Z,55000000,-93
2025-07-05T12:44:42Z,33665500,-82
2025-07-05T12:44:43Z,4C7FFFFF,-66
2025-07-05T12:44:46Z,52197FFF,-81
2025-07-05T12:44:47Z,00000000,-92
2025-07-05T12:44:47Z,4C7FFFFF,-69
2025-07-05T12:44:49Z,52197FFF,-80
2025-07-05T12:44:53Z,7FFFFFFF,-96
2025-07-05T12:44:53Z,52197FFF,-77
2025-07-05T12:44:57Z,52197FFF,-78
2025-07-05T12:45:01Z,52197FFF,-79
2025-07-05T12:45:05Z,52190000,-83
2025-07-05T12:45:09Z,52190000,-83
