time,id,rssi
2017-01-16T00:42:42Z,34522D2D87,-53
2017-01-16T00:42:43Z,074B2A00,-101
2017-01-16T00:42:43Z,521978190D,-50
2017-01-16T00:42:44Z,3366551929,-55
2017-01-16T00:42:45Z,4C52336167,-41
2017-01-16T00:42:47Z,34522D2D87,-53
2017-01-16T00:42:48Z,3407074B7A,-75
2017-01-16T00:42:49Z,521978190D,-50
2017-01-16T00:42:49Z,3366551929,-55
2017-01-16T00:42:50Z,4C52336167,-41
2017-01-16T00:42:52Z,074B2A00,-103
2017-01-16T00:42:52Z,34522D2D87,-53
2017-01-16T00:42:54Z,521978190D,-50
2017-01-16T00:42:54Z,3366551929,-55
2017-01-16T00:42:55Z,4C52336167,-40
2017-01-16T00:42:58Z,34522D2D87,-53
2017-01-16T00:42:59Z,521978190D,-50
2017-01-16T00:43:00Z,3366551929,-55
2017-01-16T00:43:00Z,4C52336167,-41
2017-01-16T00:43:01Z,074B2A00,-102
2017-01-16T00:43:03Z,34522D2D87,-53
2017-01-16T00:43:04Z,521978190D,-50
2017-01-16T00:43:05Z,3366551929,-55
2017-01-16T00:43:06Z,4C52336167,-41
2017-01-16T00:43:08Z,34522D2D87,-53
2017-01-16T00:43:09Z,521978190D,-50
2017-01-16T00:43:10Z,074B2A00,-103
2017-01-16T00:43:10Z,3366551929,-55
2017-01-16T00:43:11Z,4C52336167,-40
2017-01-16T00:43:11Z,3407074B7A,-74
2017-01-16T00:43:13Z,34522D2D87,-53
2017-01-16T00:43:15Z,521978190D,-50
2017-01-16T00:43:15Z,3366551929,-55
2017-01-16T00:43:16Z,4C52336167,-40
2017-01-16T00:43:18Z,34522D2D87,-53
2017-01-16T00:43:19Z,074B2A00,-102
2017-01-16T00:43:20Z,521978190D,-50
2017-01-16T00:43:20Z,3366551929,-55
2017-01-16T00:43:21Z,4C52336167,-41
2017-01-16T00:43:24Z,34522D2D87,-53
2017-01-16T00:43:25Z,521978190D,-50
2017-01-16T00:43:26Z,3366551929,-55
2017-01-16T00:43:27Z,4C52336167,-41
2017-01-16T00:43:28Z,074B2A00,-102
2017-01-16T00:43:29Z,34522D2D87,-53
2017-01-16T00:43:30Z,521978190D,-50
2017-01-16T00:43:31Z,3366551929,-55
2017-01-16T00:43:32Z,4C52336167,-40
2017-01-16T00:43:34Z,34522D2D87,-53
2017-01-16T00:43:35Z,521978190D,-50
2017-01-16T00:43:42Z,4C52336167,-40
2017-01-16T00:43:44Z,34522D2D87,-53
2017-01-16T00:43:46Z,521978190D,-50
2017-01-16T00:43:46Z,3366551929,-55
2017-01-16T00:43:47Z,074B2A00,-102
2017-01-16T00:43:48Z,4C52336167,-40
2017-01-16T00:43:50Z,34522D2D87,-53
2017-01-16T00:43:51Z,521978190D,-50
2017-01-16T00:43:52Z,3366551929,-55
2017-01-16T00:43:53Z,4C52336167,-40
2017-01-16T00:43:55Z,34522D2D87,-53
2017-01-16T00:43:56Z,521978190D,-50
2017-01-16T00:43:57Z,074B2A00,-102
2017-01-16T00:43:57Z,3366551929,-55
2017-01-16T00:43:57Z,3407074B7A,-75
2017-01-16T00:43:58Z,4C52336167,-41
2017-01-16T00:44:00Z,34522D2D87,-53
2017-01-16T00:44:02Z,521978190D,-50
2017-01-16T00:44:02Z,3366551929,-55
2017-01-16T00:44:02Z,340707FF,-74
2017-01-16T00:44:03Z,4C52336167,-40
2017-01-16T00:44:05Z,34522D2D87,-53
2017-01-16T00:44:07Z,074B2A00,-102
2017-01-16T00:44:07Z,3366551929,-55
2017-01-16T00:44:09Z,4C52336167,-40
2017-01-16T00:44:10Z,34522D2D87,-53
2017-01-16T00:44:12Z,521978190D,-50
2017-01-16T00:44:12Z,3366551929,-55
2017-01-16T00:44:14Z,4C52336167,-40
2017-01-16T00:44:16Z,34522D2D87,-53
2017-01-16T00:44:17Z,521978190D,-50
2017-01-16T00:44:18Z,3366551929,-55
2017-01-16T00:44:19Z,4C52336167,-40
2017-01-16T00:44:21Z,34522D2D87,-53
2017-01-16T00:44:22Z,3407074B7A,-75
2017-01-16T00:44:22Z,521978190D,-50
2017-01-16T00:44:23Z,3366551929,-55
2017-01-16T00:44:24Z,074B2A33,-102
2017-01-16T00:44:24Z,4C52336167,-40
2017-01-16T00:44:26Z,34522D2D87,-53
2017-01-16T00:44:27Z,340707FF,-77
2017-01-16T00:44:28Z,521978190D,-50
2017-01-16T00:44:28Z,3366551929,-55
2017-01-16T00:44:30Z,4C52336167,-40
2017-01-16T00:44:31Z,34522D2D87,-53
2017-01-16T00:44:33Z,521978190D,-50
2017-01-16T00:44:33Z,3366551929,-55
2017-01-16T00:44:35Z,4C52336167,-41
2017-01-16T00:44:36Z,074B2A00,-101
2017-01-16T00:44:36Z,34522D2D87,-53
2017-01-16T00:44:42Z,34522D2D87,-53
2017-01-16T00:44:43Z,521978190D,-48
2017-01-16T00:44:44Z,3366551929,-54
2017-01-16T00:44:45Z,4C52336167,-40
2017-01-16T00:44:47Z,34522D2D87,-53
2017-01-16T00:44:47Z,3407074B7A,-75
2017-01-16T00:44:48Z,074B2A00,-102
2017-01-16T00:44:48Z,521978190D,-50
2017-01-16T00:44:49Z,3366551929,-55
2017-01-16T00:44:51Z,4C52336167,-40
2017-01-16T00:44:52Z,34522D2D87,-53
2017-01-16T00:44:54Z,521978190D,-50
2017-01-16T00:44:54Z,3366551929,-55
