time,id,rssi
2017-01-21T02:20:53Z,1978617878,-105
2017-01-21T02:20:54Z,611E2A2D22,-62
2017-01-21T02:20:54Z,4C52336167,-33
2017-01-21T02:20:54Z,55522A34E0,-53
2017-01-21T02:20:55Z,34522D2D87,-54
2017-01-21T02:20:55Z,3366551929,-62
2017-01-21T02:20:56Z,522D1E66B6,-55
2017-01-21T02:20:56Z,34070000,-75
2017-01-21T02:20:57Z,521978190D,-51
2017-01-21T02:20:58Z,4C336166FA,-63
2017-01-21T02:20:58Z,1978617878,-109
2017-01-21T02:20:59Z,611E2A2D22,-60
2017-01-21T02:20:59Z,4C52336167,-36
2017-01-21T02:21:00Z,55522A34E0,-49
2017-01-21T02:21:00Z,34522D2D87,-59
2017-01-21T02:21:00Z,3366551929,-54
2017-01-21T02:21:01Z,522D1E66B6,-53
2017-01-21T02:21:02Z,521978190D,-56
2017-01-21T02:21:03Z,4C336166FA,-54
2017-01-21T02:21:04Z,1978617878,-109
2017-01-21T02:21:04Z,611E2A2D22,-62
2017-01-21T02:21:04Z,4C52336167,-49
2017-01-21T02:21:05Z,55522A34E0,-54
2017-01-21T02:21:05Z,34522D2D87,-51
2017-01-21T02:21:06Z,3366551929,-51
2017-01-21T02:21:06Z,522D1E66B6,-58
2017-01-21T02:21:07Z,521978190D,-73
2017-01-21T02:21:08Z,4C336166FA,-54
2017-01-21T02:21:09Z,1978617878,-99
2017-01-21T02:21:10Z,4C52336167,-56
2017-01-21T02:21:10Z,55522A34E0,-74
2017-01-21T02:21:10Z,34522D2D87,-70
2017-01-21T02:21:11Z,3366551929,-65
2017-01-21T02:21:12Z,522D1E66B6,-68
2017-01-21T02:21:12Z,521978190D,-64
2017-01-21T02:21:14Z,4C336166FA,-62
2017-01-21T02:21:14Z,1978617878,-98
2017-01-21T02:21:15Z,611E2A2D22,-77
2017-01-21T02:21:15Z,4C52336167,-54
2017-01-21T02:21:15Z,55522A34E0,-71
2017-01-21T02:21:16Z,34522D2D87,-70
2017-01-21T02:21:16Z,3366551929,-62
2017-01-21T02:21:16Z,3407074B7A,-81
2017-01-21T02:21:17Z,522D1E66B6,-68
2017-01-21T02:21:17Z,521978190D,-64
2017-01-21T02:21:19Z,4C336166FA,-72
2017-01-21T02:21:19Z,1978617878,-97
2017-01-21T02:21:20Z,611E2A2D22,-72
2017-01-21T02:21:20Z,4C52336167,-59
2017-01-21T02:21:20Z,55522A34E0,-75
2017-01-21T02:21:25Z,4C52336167,-32
2017-01-21T02:21:26Z,55522A34E0,-54
2017-01-21T02:21:26Z,34522D2D87,-48
2017-01-21T02:21:26Z,3366551929,-48
2017-01-21T02:21:27Z,522D1E66B6,-46
2017-01-21T02:21:28Z,521978190D,-49
2017-01-21T02:21:30Z,4C336166FA,-50
2017-01-21T02:21:30Z,611E2A2D22,-64
2017-01-21T02:21:31Z,4C52336167,-36
2017-01-21T02:21:31Z,55522A34E0,-47
2017-01-21T02:21:31Z,34522D2D87,-51
2017-01-21T02:21:32Z,3366551929,-53
2017-01-21T02:21:32Z,522D1E66B6,-47
2017-01-21T02:21:33Z,521978190D,-49
2017-01-21T02:21:35Z,1978617878,-99
2017-01-21T02:21:35Z,4C336166FA,-50
2017-01-21T02:21:35Z,611E2A2D22,-64
2017-01-21T02:21:36Z,4C52336167,-37
2017-01-21T02:21:36Z,55522A34E0,-48
2017-01-21T02:21:36Z,34522D2D87,-51
2017-01-21T02:21:37Z,3366551929,-50
2017-01-21T02:21:38Z,522D1E66B6,-48
2017-01-21T02:21:38Z,521978190D,-45
2017-01-21T02:21:40Z,1978617878,-106
2017-01-21T02:21:40Z,4C336166FA,-45
2017-01-21T02:21:41Z,611E2A2D22,-60
2017-01-21T02:21:41Z,4C52336167,-56
2017-01-21T02:21:41Z,55522A34E0,-53
2017-01-21T02:21:41Z,34522D2D87,-44
